adaptive_success,claude_success,name,input_tokens_4o,min_input_tokens_4o,max_input_tokens_4o,input_tokens_mini,min_input_tokens_mini,max_input_tokens_mini,input_tokens_claude,min_input_tokens_claude,max_input_tokens_claude,output_tokens_4o,min_output_tokens_4o,max_output_tokens_4o,output_tokens_mini,min_output_tokens_mini,max_output_tokens_mini,output_tokens_claude,min_output_tokens_claude,max_output_tokens_claude,_4o_runs,min_4o_runs,max_4o_runs,mini_runs,min_mini_runs,max_mini_runs,claude_runs,min_claude_runs,max_claude_runs,adaptive_hls,min_adaptive_hls,max_adaptive_hls,adaptive_compile,min_adaptive_compile,max_adaptive_compile,adaptive_area,min_adaptive_area,max_adaptive_area,adaptive_latency,min_adaptive_latency,max_adaptive_latency,claude_hls,min_claude_hls,max_claude_hls,claude_compile,min_claude_compile,max_claude_compile,claude_area,min_claude_area,max_claude_area,claude_latency,min_claude_latency,max_claude_latency,claude_cost,min_claude_cost,max_claude_cost,adaptive_cost,min_adaptive_cost,max_adaptive_cost
8,1,Cipher,117481.375,61078,192183,25500.375,11863,40455,117625.0,99999,117625,24656.375,16408,32561,8105.875,3326,13314,43437.0,43437,43437,18.25,13,24,6.75,5,9,35.0,35,35,16.0,16,16,36.625,29,44,2975.9000000000005,2975.9,2975.9,853.0,853,853,25.0,25,25,55.0,55,55,2965.3,2965.3,2965.3,853.0,853,853,0,99999,0,0.5489557687500001,0.32055005,0.82012415
10,10,sha256_update,15042.6,12097,20615,4708.5,4113,7092,37690.8,26184,76115,5889.4,5075,7066,2262.1,2057,3053,12341.3,9246,20894,5.8,5,7,2.2,2,3,9.9,8,18,7.2,7,8,12.0,11,13,41794.09999999999,41794.1,41794.1,83.0,83,83,6.2,6,8,14.1,12,24,41923.99999999999,41794.1,42227.1,83.0,83,83,0.2981919,0.217242,0.541755,0.09856403500000001,0.08284364999999999,0.1250931
10,10,Runs,10650.7,4844,26781,6852.7,6593,7067,10494.8,8983,11872,2208.7,1374,4048,1750.5,1544,2027,3732.1,3352,4051,5.9,4,11,4.0,4,4,6.5,6,7,2.0,2,2,13.1,11,19,389.5400000000001,24.4,1453.4,13107.3,0,65535,2.0,2,2,10.0,9,11,1958.6999999999996,1889.3,2236.3,1.4,1,3,0.0874659,0.077229,0.096381,0.050791955,0.027765349999999998,0.10970875
4,10,quickSort,1740.25,833,4378,7178.75,5218,10805,13927.5,3233,23536,1173.75,656,2650,3303.25,2530,4899,5516.9,2605,9511,1.75,1,4,5.25,4,8,6.8,3,12,5.0,4,8,10.0,7,18,47880.299999999996,12089.1,81122.9,4.0,4,4,4.6,4,7,9.4,5,17,53746.85,11813.6,83659.8,4.0,4,4,0.124536,0.048774,0.213273,0.0191468875,0.0109432,0.04200515
3,4,present80_encryptBlock,64909.333333333336,48302,88661,19464.666666666668,19336,19536,53946.0,51704,56049,16658.666666666668,13825,19108,7467.0,7383,7516,24256.25,23817,25190,18.333333333333332,16,20,9.0,9,9,25.25,24,26,18.0,18,18,39.333333333333336,37,41,19985.2,19985.2,19985.2,6193.0,6193,6193,18.0,18,18,38.25,37,39,19566.425000000003,18709.6,19984.7,6366.75,6193,6888,0.52568175,0.512367,0.545997,0.3362599,0.2663352,0.4201725
0,2,Overlapping,0,99999,0,0,99999,0,76456.5,46598,106315,0,99999,0,0,99999,0,18160.5,15971,20350,0,99999,0,0,99999,0,19.5,16,23,0,99999,0,0,99999,0,0,99999,0,0,99999,0,3.5,3,4,29.5,24,35,17923.35,10473.9,25372.8,16.5,1,32,0.501777,0.379359,0.624195,0,99999,0
10,10,Frequency,1593.1,1319,2604,870.0,870,870,2670.0,2640,2694,704.1,606,1001,286.6,274,304,1452.8,1420,1538,2.2,2,3,1.0,1,1,3.0,3,3,2.0,2,2,4.2,4,5,808.5,808.5,808.5,1.0,1,1,2.0,2,2,4.0,4,4,813.1999999999999,813.2,813.2,1.0,1,1,0.029802,0.02922,0.031152,0.01132621,0.0096524,0.0168329
0,0,des_crypt,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0,0,99999,0
10,10,CumulativeSums,4581.9,1403,16309,1733.0,957,4180,4696.6,3247,8139,1333.7,666,2989,549.7,340,1090,2357.0,1942,3381,3.6,2,8,1.5,1,3,3.7,3,5,2.0,2,2,6.1,4,10,1732.5400000000002,1522.7,2058.5,8002.0,1,40001,2.0,2,2,4.7,4,6,642.1899999999998,24.4,2269.8,0.7,0,4,0.049444800000000004,0.038871,0.075132,0.02538152,0.01051505,0.0719435
1,8,BlockFrequency,12675.0,12675,12675,4951.0,4951,4951,19144.125,11873,32406,4199.0,4199,4199,2073.0,2073,2073,6853.125,5226,9199,8.0,8,8,4.0,4,4,11.375,9,15,4.0,4,4,14.0,14,14,14897.0,14897.0,14897.0,32.0,32,32,4.125,4,5,13.625,11,18,2861.3625,104.4,11325.2,32.875,1,256,0.16022925,0.114009,0.235203,0.07566395,0.07566395,0.07566395
